 ListingID,Link,lat,lng,Bedrooms,Star Rating,Reviews,Price,Occupancy,Revenue,Active Nights,Min Stay,Dynamic Pricing,id
45618762,[ABnB](https://www.airbnb.com/rooms/45618762),16.76901,-99.77766,2,3.0,5,2012,13,140669,47,1,Low,114
51212491,[ABnB](https://www.airbnb.com/rooms/51212491),16.76541,-99.78074,2,4.92,13,3716,23,68630,23,2,Moderate,115
46446332,[ABnB](https://www.airbnb.com/rooms/46446332),16.769007,-99.777641,2,4.98,47,3491,74,729543,222,3,None,116
44321879,[ABnB](https://www.airbnb.com/rooms/44321879),16.76902,-99.77762,2,4.6,53,2341,75,710782,275,3,Moderate,117
38490610,[ABnB](https://www.airbnb.com/rooms/38490610),16.76995,-99.77854,2,4.89,75,3491,65,912274,237,1,None,118
15466644,[ABnB](https://www.airbnb.com/rooms/15466644),16.76972,-99.77785,2,4.95,19,3080,69,647920,206,2,Low,119
48788360,[ABnB](https://www.airbnb.com/rooms/48788360),16.76794,-99.77672,2,-NA,0,3491,16,139532,40,3,None,120
51563792,[ABnB](https://www.airbnb.com/rooms/51563792),16.76489,-99.78058,2,5.0,2,2998,45,137466,43,2,Moderate,121
48485305,[ABnB](https://www.airbnb.com/rooms/48485305),16.76961,-99.77763,2,-NA,0,2484,2,21029,6,1,Low,122
46446125,[ABnB](https://www.airbnb.com/rooms/46446125),16.77061,-99.77964,2,4.78,18,3285,45,432707,135,2,Low,123
33613127,[ABnB](https://www.airbnb.com/rooms/33613127),16.77008,-99.77769,2,4.85,73,1991,62,647076,226,2,None,124
23377622,[ABnB](https://www.airbnb.com/rooms/23377622),16.77009,-99.77758,2,4.9,162,2813,70,760141,256,1,None,125
23183518,[ABnB](https://www.airbnb.com/rooms/23183518),16.77077,-99.7791,2,4.89,80,2998,67,745173,244,3,None,126
50819731,[ABnB](https://www.airbnb.com/rooms/50819731),16.76912,-99.77652,2,5.0,2,2998,29,93622,28,2,Low,127
20011259,[ABnB](https://www.airbnb.com/rooms/20011259),16.77045,-99.77748,2,4.63,16,3840,29,562882,105,2,Low,128
49449347,[ABnB](https://www.airbnb.com/rooms/49449347),16.77095,-99.77807,2,-NA,0,3799,2,23082,6,2,None,129
33583436,[ABnB](https://www.airbnb.com/rooms/33583436),16.76398,-99.78124,2,4.88,59,4291,59,1056760,214,2,Moderate,130
52132279,[ABnB](https://www.airbnb.com/rooms/52132279),16.76831,-99.78438,2,5.0,1,4887,13,65119,13,1,None,131
41043731,[ABnB](https://www.airbnb.com/rooms/41043731),16.77222,-99.78027,2,4.58,24,2751,16,158309,59,1,Low,132
46415341,[ABnB](https://www.airbnb.com/rooms/46415341),16.77196,-99.78159,2,-Unknown,2,1191,22,40669,37,2,None,133
49900021,[ABnB](https://www.airbnb.com/rooms/49900021),16.77098,-99.78317,2,-Unknown,1,1971,0,2279,1,2,None,134
14609456,[ABnB](https://www.airbnb.com/rooms/14609456),16.76853,-99.78473,2,4.72,83,2895,81,992714,294,2,None,135
50225591,[ABnB](https://www.airbnb.com/rooms/50225591),16.76969,-99.78438,2,-NA,0,5318,1,9405,2,7,Low,136
48664299,[ABnB](https://www.airbnb.com/rooms/48664299),16.77202,-99.78216,2,4.82,11,1437,40,136631,102,2,Low,137
16510957,[ABnB](https://www.airbnb.com/rooms/16510957),16.76632,-99.78481,2,-NA,0,7906,2,90357,8,7,Low,138
39606254,[ABnB](https://www.airbnb.com/rooms/39606254),16.76813,-99.78495,2,-NA,0,11582,0,0,0,7,None,139
50708648,[ABnB](https://www.airbnb.com/rooms/50708648),16.76842,-99.78496,2,-NA,0,5483,11,78487,14,7,None,140
45398243,[ABnB](https://www.airbnb.com/rooms/45398243),16.77246,-99.78137,2,-NA,0,1745,0,0,0,30,None,141
51823642,[ABnB](https://www.airbnb.com/rooms/51823642),16.76242,-99.77821,2,-NA,0,2484,38,90721,37,3,Low,142
41042422,[ABnB](https://www.airbnb.com/rooms/41042422),16.77264,-99.78097,2,5.0,5,1704,29,210764,105,1,None,143
